Title,"PostTrak
Film
Type","Release
Date",Genre,Rating,Dist,"Opening
Wknd
Gross","Opening
Day
Gross",Cume,"Locs
at
Opening","Locs
at
Widest
Release","Polling
Wk",Index,"Definitely
Recommend","Total
Polled","General
Total
;
How
would
you
rate
the
film?
1
-
Excellent"
Drive-Away Dolls,General,2/23/2024,ACT,R,FOC,2404330,1011980,5028215,2280,2280,1,70,42%,430,31%
Madame Web,Hybrid,2/14/2024,ACT,PG13,SNY,15335860,6051012,43817106,4013,4013,1,59,38%,1200,27%
Bob Marley: One Love,General,2/14/2024,DRA,PG13,PAR,28659004,14009622,96893170,3536,3597,1,88,77%,818,65%
Lisa Frankenstein,General,2/9/2024,COM,PG13,FOC,3695785,1725290,9774285,3144,3144,1,75,50%,766,41%
Turning Red,Family,2/9/2024,ANI,PG,DIS,578047,160433,1399001,1560,1560,1,86,69%,147,59%
Argylle,General,2/2/2024,ACT,PG13,UNI,17473540,6485575,45207275,3605,3647,1,74,48%,800,39%
"Chosen: Season 4 Episodes 1-3, The",General,2/1/2024,SPECIAL,NR,FTHM,5948435,1434170,14406070,2183,2280,1,90,78%,524,69%
I.S.S.,General,1/19/2024,SCI,R,BST,3064583,1255556,6573799,2518,2518,1,61,27%,589,20%
Mean Girls,Hybrid,1/12/2024,COM,PG13,PAR,28635307,11527268,72404248,3791,3826,1,74,47%,1210,39%
"Beekeeper, The",General,1/12/2024,ACT,R,AMZMGM,16576007,6765012,66220535,3303,3337,1,84,62%,801,57%
"Book of Clarence, The",General,1/12/2024,ADV,PG13,SNY,2557027,1009292,6132813,2010,2010,1,77,55%,492,41%
Soul,Family,1/12/2024,ANI,PG,DIS,431840,121631,946154,1350,1360,1,89,68%,139,62%
Night Swim,General,1/5/2024,HOR,PG13,UNI,11797155,5246275,32494740,3250,3257,1,56,26%,802,18%
"Color Purple, The",General,12/25/2023,MUS,PG13,WB,11737072,18151050,60619191,3152,3218,1,91,80%,824,72%
"Boys in the Boat, The",General,12/25/2023,DRA,PG13,MGM,8400548,5714382,52641306,2557,2687,1,86,70%,800,60%
Ferrari,General,12/25/2023,DRA,R,NEON,3921773,2876285,18550030,2330,2386,1,76,47%,800,36%
Aquaman and the Lost Kingdom,Hybrid,12/22/2023,ACT,PG13,WB,27686211,13681754,124481226,3706,3787,1,73,48%,1274,37%
Migration,Family,12/22/2023,ANI,PG,UNI,12453275,5747620,127306285,3761,3839,1,80,50%,1221,43%
"Iron Claw, The",General,12/22/2023,DRA,R,A24,4868370,2496600,35070296,2774,2794,1,86,67%,804,56%
Anyone But You,General,12/22/2023,RCOM,R,SNY,6000344,3477429,88319668,3055,3055,1,80,55%,764,46%
Wonka,Family,12/15/2023,MUS,PG,WB,39005800,14412706,218402312,4203,4213,1,84,63%,1233,53%
American Fiction,General,12/15/2023,COM,R,MGM,224469,121245,21098470,7,1902,1,87,67%,363,59%
"Boy and the Heron, The",Hybrid,12/8/2023,ANI,PG13,GKIDS,13011722,5602603,46832867,2205,2325,1,84,62%,1206,53%
Poor Things,General,12/8/2023,SCI,R,SL,661230,279075,34553225,9,2300,1,82,56%,407,54%
Die Hard (1988) (re),General,12/8/2023,ACT,R,20TH,934421,331050,2048453,1355,1355,1,90,72%,237,67%
RENAISSANCE: A FILM BY BEYONCÉ,Hybrid,12/1/2023,SPECIAL,NR,VAR,21801216,11619984,33889685,2539,2542,1,95,86%,1212,84%
Godzilla Minus One,General,12/1/2023,ACT,PG13,EMICK,11419975,4726373,56418793,2308,2622,1,91,82%,821,74%
"Shift, The",General,12/1/2023,SCI,PG13,ANGEL,4300165,1750398,12118219,2450,2450,1,84,68%,480,57%
Silent Night,General,12/1/2023,ACT,R,LGF,3010207,1088202,8012103,1870,1873,1,70,41%,351,34%
Wish,Family,11/22/2023,ANI,PG,DIS,19698228,8117419,63973821,3900,3900,1,74,46%,1206,41%
Napoleon,General,11/22/2023,ACT,R,SNY,20638887,7733795,61524375,3500,3500,1,74,46%,801,35%
Trolls Band Together,Family,11/17/2023,ANI,PG,UNI,30002525,9397780,102996915,3870,3893,1,80,59%,1210,53%
"Hunger Games: The Ballad of Songbirds & Snakes, The",Hybrid,11/17/2023,ACT,PG13,LGF,44607143,19048744,166350594,3776,3776,1,85,67%,1207,56%
Thanksgiving,General,11/17/2023,HOR,R,SNY,10306272,3827521,31908884,3204,3204,1,75,53%,800,37%
Saltburn,General,11/17/2023,DRA,R,MGM,322651,167624,11425829,7,1566,1,76,38%,379,38%
Next Goal Wins,General,11/17/2023,COM,PG13,SL,2500295,1099450,6713826,2240,2240,1,83,65%,358,54%
"Marvels, The",Hybrid,11/10/2023,ACT,PG13,DIS,46110859,21603104,84500223,4030,4030,1,75,55%,1241,41%
Journey to Bethlehem,Hybrid,11/10/2023,MUS,PG,SNY,2400446,1025364,6820796,2002,2002,1,85,68%,539,57%
What Happens Later,General,11/3/2023,COM,R,BST,1522750,601372,3273895,1492,1492,1,58,24%,208,17%
Five Nights at Freddy's,Hybrid,10/27/2023,HOR,PG13,UNI,80001720,39645580,137275620,3675,3789,1,79,60%,1207,48%
Priscilla,General,10/27/2023,DRA,R,A24,132139,66643,20864910,4,2361,1,73,46%,844,33%
After Death,General,10/27/2023,DOC,PG13,ANGEL,5051950,2203285,11478133,2645,2730,1,84,60%,610,52%
"Holdovers, The",General,10/27/2023,COM,R,FOC,211093,95382,20355375,6,1601,1,81,63%,293,50%
Freelance,General,10/27/2023,ACT,R,EMICK,2086000,885000,5331346,2057,2057,1,67,32%,256,21%
Killers of the Flower Moon,General,10/20/2023,DRA,R,PAR,23253655,9401256,68026901,3628,3786,1,87,70%,813,64%
TAYLOR SWIFT / THE ERAS TOUR,Hybrid,10/13/2023,SPECIAL,PG13,VAR,93224755,37674069,180760723,3855,3855,1,95,86%,1214,84%
"Exorcist: Believer, The",General,10/6/2023,HOR,R,UNI,26497600,11826255,65537395,3663,3684,1,69,43%,816,30%
Paw Patrol: The Mighty Movie,Family,9/29/2023,ANI,PG,PAR,22764354,6828084,65343309,3989,4027,1,80,57%,1231,49%
Saw X,General,9/29/2023,HOR,R,LGF,18309301,7965110,53607898,3262,3262,1,81,60%,821,49%
"Creator, The",General,9/29/2023,SCI,PG13,20TH,14079512,5629996,40774679,3680,3680,1,81,61%,802,49%
Expend4bles,General,9/22/2023,ACT,R,LGF,8039021,3116557,16710153,3518,3518,1,71,44%,819,36%
It Lives Inside,General,9/22/2023,HOR,PG13,NEON,2607665,1053340,4675092,2005,2005,1,58,25%,437,16%
"Haunting in Venice, A",General,9/15/2023,DRA,PG13,20TH,14279529,5542594,42471412,3305,3305,1,75,47%,821,34%
Dumb Money,General,9/15/2023,COM,R,SNY,220947,92382,13919484,8,2837,1,82,60%,601,46%
My Big Fat Greek Wedding 3,General,9/8/2023,COM,PG13,FOC,10028675,3706845,28496030,3650,3678,1,78,55%,835,43%
"Nun II, The",General,9/8/2023,HOR,R,WB,32603336,13107493,86270590,3728,3743,1,73,50%,825,36%
"Equalizer 3, The",General,9/1/2023,ACT,R,SNY,34604229,13045955,92373751,3965,3965,1,88,73%,829,64%
Gran Turismo: Based on a True Story,Hybrid,8/25/2023,ACT,PG13,SNY,17410552,8552178,44428554,3856,3856,1,89,76%,1238,67%
Retribution,General,8/25/2023,ACT,R,RSA,3518830,1289460,6937696,1750,1750,1,67,35%,454,24%
Bottoms,General,8/25/2023,COM,R,MGM,461052,231195,12036071,10,1265,1,87,75%,352,61%
"Hill, The",General,8/25/2023,DRA,PG,BCLF,2301931,805612,7665865,1570,1703,1,83,64%,304,51%
Blue Beetle,Hybrid,8/18/2023,ACT,PG13,WB,25030225,10005790,72541501,3871,3871,1,83,65%,1226,51%
Strays,General,8/18/2023,COM,R,UNI,8247810,3427540,23988885,3223,3232,1,77,54%,815,45%
Back on the Strip,General,8/18/2023,COM,R,LUMREL, , ,0,1317,1317,1,78,37%,126,41%
"Last Voyage of the Demeter, The",General,8/11/2023,HOR,R,UNI,6504950,2606975,13637180,2715,2715,1,70,38%,841,29%
Meg 2: The Trench,General,8/4/2023,ACT,PG13,WB,30002735,12146883,82633033,3503,3604,1,75,54%,818,40%
