
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
40-44,male,Renfield,"6,092"
18-24,male,Heretic,"6,088"
45-49,male,Saltburn,"6,065"
25-29,female,Evil Dead Rise,"6,061"
18-24,female,Extraction 2,"6,057"
50-54,female,Red One,"6,057"
50-54,female,Shazam! Fury of the Gods,"6,056"
18-24,male,Expend4bles,"6,048"
25-29,male,How to Train Your Dragon,"6,032"
40-44,female,Red One,"6,020"
50-54,female,Transformers: Rise of the Beasts,"5,998"
50-54,male,Sinners,"5,993"
40-44,male,The Accountant 2,"5,986"
30-34,male,Kung Fu Panda 4,"5,981"
30-34,female,Conclave,"5,970"
35-39,male,Mission: Impossible - The Final Reckoning,"5,947"
25-29,male,The Equalizer 3,"5,946"
45-49,female,Five Nights at Freddy's,"5,918"
30-34,female,The Fall Guy,"5,914"
40-44,male,Saw X,"5,887"
40-44,male,A Minecraft Movie,"5,875"
45-49,male,A Minecraft Movie,"5,875"
40-44,male,Kung Fu Panda 4,"5,862"
30-34,female,Shazam! Fury of the Gods,"5,850"
30-34,male,Saw X,"5,850"
40-44,female,KPop Demon Hunters,"5,845"
45-49,female,Evil Dead Rise,"5,835"
25-29,female,A Haunting in Venice,"5,823"
25-29,male,Beetlejuice Beetlejuice,"5,794"
25-29,male,A Minecraft Movie,"5,782"
35-39,female,Mission: Impossible – Dead Reckoning Part One,"5,749"
40-44,male,Juror #2,"5,746"
25-29,male,Jurassic World: Rebirth,"5,745"
35-39,male,Kung Fu Panda 4,"5,744"
45-49,male,Heretic,"5,728"
35-39,male,The Nun II,"5,717"
18-24,female,Creed III,"5,714"
50-54,male,Saltburn,"5,712"
50-54,female,The Fall Guy,"5,704"
25-29,male,Red One,"5,694"
45-49,male,Saw X,"5,693"
30-34,female,Sinners,"5,693"
40-44,male,Plane,"5,686"
25-29,male,Air,"5,686"
35-39,female,Extraction 2,"5,676"
45-49,female,KPop Demon Hunters,"5,672"
18-24,female,Weapons,"5,639"
45-49,male,Borderlands,"5,637"
45-49,male,Cocaine Bear,"5,634"
40-44,male,Heretic,"5,621"
35-39,male,Wicked,"5,618"
45-49,male,The Nun II,"5,608"
30-34,male,Ballerina,"5,604"
45-49,female,Ghostbusters: Frozen Empire,"5,602"
50-54,male,Renfield,"5,593"
50-54,female,The Nun II,"5,589"
18-24,male,Juror #2,"5,575"
25-29,female,The Fall Guy,"5,572"
18-24,male,Until Dawn,"5,568"
50-54,female,The Pope's Exorcist,"5,557"
50-54,female,The Equalizer 3,"5,548"
30-34,female,Twisters,"5,538"
50-54,female,The Flash,"5,505"
50-54,female,Five Nights at Freddy's,"5,502"
18-24,male,Totally Killer,"5,448"
35-39,male,Renfield,"5,447"
50-54,female,KPop Demon Hunters,"5,446"
30-34,male,Expend4bles,"5,441"
30-34,female,The Flash,"5,425"
18-24,female,Bad Boys: Ride or Die,"5,422"
40-44,male,The Nun II,"5,420"
25-29,female,Conclave,"5,407"
50-54,male,Heretic,"5,406"
40-44,female,Air,"5,387"
40-44,female,The Pope's Exorcist,"5,383"
18-24,male,The Zone of Interest,"5,374"
35-39,female,Red One,"5,370"
50-54,male,Final Destination: Bloodlines,"5,370"
40-44,male,Borderlands,"5,363"
25-29,male,Ballerina,"5,344"
30-34,male,The Pope's Exorcist,"5,342"
25-29,female,Gladiator II,"5,338"
50-54,male,The Amateur,"5,329"
40-44,male,Cocaine Bear,"5,327"
45-49,female,Blue Beetle,"5,321"
25-29,male,Twisters,"5,313"
40-44,female,Blue Beetle,"5,304"
25-29,female,How to Train Your Dragon,"5,301"
40-44,female,Juror #2,"5,286"
40-44,male,Five Nights at Freddy's,"5,277"
25-29,female,Past Lives,"5,269"
35-39,female,Blue Beetle,"5,248"
18-24,male,The Conjuring: Last Rites,"5,243"
35-39,male,Heretic,"5,238"
40-44,female,The Nun II,"5,232"
35-39,male,Juror #2,"5,202"
40-44,male,Wicked,"5,197"
18-24,male,Transformers One,"5,174"
45-49,male,The Amateur,"5,170"
40-44,female,Ghostbusters: Frozen Empire,"5,163"
30-34,female,The Nun II,"5,159"
50-54,female,Blue Beetle,"5,158"
25-29,female,Shazam! Fury of the Gods,"5,153"
35-39,female,The Nun II,"5,147"
35-39,male,Five Nights at Freddy's,"5,103"
50-54,male,Five Nights at Freddy's,"5,103"
25-29,female,Final Destination: Bloodlines,"5,087"
30-34,male,How to Train Your Dragon,"5,074"
45-49,female,The Equalizer 3,"5,073"
40-44,female,Evil Dead Rise,"5,071"
35-39,female,Transformers: Rise of the Beasts,"5,059"
30-34,male,Five Nights at Freddy's,"5,052"
30-34,male,Mission: Impossible - The Final Reckoning,"5,051"
25-29,female,Twisters,"5,050"
18-24,female,The Map That Leads to You,"5,049"
18-24,male,Ghostbusters: Frozen Empire,"5,044"
35-39,female,Sinners,"5,043"
45-49,female,Heretic,"5,042"
30-34,female,Blue Beetle,"5,032"
18-24,female,The Conjuring: Last Rites,"5,030"
35-39,female,Evil Dead Rise,"5,029"
35-39,male,A Minecraft Movie,"5,028"
50-54,male,The Nun II,"5,019"
45-49,female,Bad Boys: Ride or Die,"4,985"
50-54,male,Borderlands,"4,983"
30-34,female,Past Lives,"4,981"
25-29,male,Mission: Impossible - The Final Reckoning,"4,975"
18-24,male,MaXXXine,"4,973"
25-29,male,65,"4,971"
35-39,female,Furiosa: A Mad Max Saga,"4,958"
35-39,female,Juror #2,"4,947"
50-54,male,Cocaine Bear,"4,947"
35-39,male,The Accountant 2,"4,941"
30-34,female,Evil Dead Rise,"4,927"
25-29,female,Blue Beetle,"4,924"
40-44,female,Five Nights at Freddy's,"4,923"
25-29,female,Mickey 17,"4,920"
25-29,male,Weapons,"4,919"
35-39,male,How to Train Your Dragon,"4,907"
18-24,female,The Pope's Exorcist,"4,894"
25-29,female,Totally Killer,"4,892"
30-34,female,Red One,"4,890"
45-49,female,Air,"4,888"
25-29,male,KPop Demon Hunters,"4,879"
40-44,female,Furiosa: A Mad Max Saga,"4,870"
30-34,female,Extraction 2,"4,868"
50-54,female,Evil Dead Rise,"4,865"
45-49,male,Wicked,"4,864"
50-54,female,We Have a Ghost,"4,845"
45-49,female,Alien: Romulus,"4,833"
25-29,male,The Pope's Exorcist,"4,830"
40-44,female,Bad Boys: Ride or Die,"4,814"
45-49,female,Road House,"4,809"
30-34,female,Final Destination: Bloodlines,"4,794"
50-54,male,Kung Fu Panda 4,"4,789"
35-39,female,Past Lives,"4,760"
25-29,male,Expend4bles,"4,751"
25-29,female,Materialists,"4,737"
50-54,female,65,"4,717"
45-49,female,Furiosa: A Mad Max Saga,"4,687"
18-24,female,Heretic,"4,673"
40-44,female,Heretic,"4,663"
45-49,female,We Have a Ghost,"4,657"
30-34,female,Mission: Impossible – Dead Reckoning Part One,"4,648"
30-34,female,Mickey 17,"4,646"
30-34,male,Heretic,"4,644"
45-49,male,How to Train Your Dragon,"4,637"
40-44,male,How to Train Your Dragon,"4,629"
50-54,female,Road House,"4,618"
35-39,male,Plane,"4,587"
40-44,female,Road House,"4,564"
35-39,male,Cocaine Bear,"4,564"
40-44,female,We Have a Ghost,"4,520"
35-39,female,Air,"4,512"
25-29,female,The Flash,"4,510"
40-44,female,Past Lives,"4,509"
45-49,male,Companion,"4,509"
18-24,female,All of Us Strangers,"4,500"
18-24,female,Juror #2,"4,500"
45-49,female,Jurassic World: Rebirth,"4,474"
35-39,male,Companion,"4,470"
18-24,male,Upgraded,"4,443"
50-54,male,Saw X,"4,428"
40-44,male,Companion,"4,424"
40-44,female,Sinners,"4,423"
50-54,female,Plane,"4,417"
50-54,male,Companion,"4,411"
25-29,female,Red One,"4,400"
30-34,male,Juror #2,"4,393"
35-39,female,Final Destination: Bloodlines,"4,393"
30-34,female,Materialists,"4,393"
25-29,female,Kung Fu Panda 4,"4,386"
30-34,female,Furiosa: A Mad Max Saga,"4,385"
40-44,male,The Amateur,"4,380"
40-44,female,Love Again,"4,365"
40-44,female,Jurassic World: Rebirth,"4,351"
50-54,male,A Minecraft Movie,"4,343"
35-39,female,Heretic,"4,339"
50-54,female,Ghostbusters: Frozen Empire,"4,325"
35-39,male,Borderlands,"4,310"
30-34,female,Juror #2,"4,309"
30-34,male,Renfield,"4,300"
45-49,female,Sinners,"4,294"
25-29,male,Companion,"4,293"
35-39,female,The Pope's Exorcist,"4,291"
50-54,female,Bad Boys: Ride or Die,"4,288"
30-34,male,Companion,"4,284"
45-49,female,65,"4,283"
35-39,female,Jurassic World: Rebirth,"4,281"
45-49,female,Love Again,"4,281"
50-54,male,Wicked,"4,265"
25-29,female,Companion,"4,261"
50-54,female,Heretic,"4,255"
45-49,female,Gran Turismo,"4,252"
50-54,female,Furiosa: A Mad Max Saga,"4,244"
50-54,female,Alien: Romulus,"4,243"
50-54,female,Love Again,"4,240"
30-34,male,A Minecraft Movie,"4,221"
30-34,male,Ghostbusters: Frozen Empire,"4,220"
40-44,female,Final Destination: Bloodlines,"4,219"
30-34,male,Weapons,"4,204"
40-44,female,Alien: Romulus,"4,202"
45-49,female,How to Train Your Dragon,"4,200"
35-39,male,Weapons,"4,199"
30-34,female,How to Train Your Dragon,"4,198"
50-54,female,Air,"4,188"
25-29,male,Heretic,"4,185"
18-24,male,Plane,"4,181"
25-29,female,Mission: Impossible – Dead Reckoning Part One,"4,177"
45-49,female,Final Destination: Bloodlines,"4,168"
18-24,male,Renfield,"4,149"
35-39,female,You People,"4,142"
30-34,female,Heretic,"4,141"
40-44,male,Teenage Mutant Ninja Turtles: Mutant Mayhem,"4,139"
50-54,female,Jurassic World: Rebirth,"4,137"
40-44,female,65,"4,136"
18-24,female,MaXXXine,"4,132"
30-34,female,Five Nights at Freddy's,"4,131"
40-44,female,You People,"4,114"
35-39,female,Mickey 17,"4,094"
25-29,female,Nimona,"4,093"
50-54,male,How to Train Your Dragon,"4,092"
40-44,female,The Equalizer 3,"4,090"
25-29,female,Extraction 2,"4,087"
35-39,female,Bad Boys: Ride or Die,"4,080"
25-29,male,Past Lives,"4,079"
18-24,male,The Monkey,"4,076"
35-39,female,Five Nights at Freddy's,"4,073"
18-24,female,Alien: Romulus,"4,071"
25-29,male,Nimona,"4,065"
30-34,female,Companion,"4,048"
30-34,male,The Accountant 2,"4,044"
18-24,male,All of Us Strangers,"4,034"
35-39,female,How to Train Your Dragon,"4,017"
45-49,female,A Minecraft Movie,"4,008"
40-44,female,How to Train Your Dragon,"3,996"
30-34,female,Totally Killer,"3,990"
45-49,female,Kung Fu Panda 4,"3,990"
40-44,female,A Minecraft Movie,"3,961"
18-24,female,Another Simple Favor,"3,958"
18-24,female,Until Dawn,"3,957"
35-39,female,Love Again,"3,951"
30-34,female,Jurassic World: Rebirth,"3,908"
30-34,male,Cocaine Bear,"3,897"
45-49,male,Weapons,"3,893"
25-29,male,Juror #2,"3,883"
45-49,female,Mickey 17,"3,876"
45-49,female,You People,"3,875"
25-29,male,Cocaine Bear,"3,874"
25-29,female,Saw X,"3,868"
35-39,female,Another Simple Favor,"3,859"
50-54,male,The Zone of Interest,"3,852"
40-44,male,Weapons,"3,834"
35-39,female,Materialists,"3,828"
18-24,male,The Exorcist: Believer,"3,825"
35-39,female,We Have a Ghost,"3,818"
40-44,female,Kung Fu Panda 4,"3,815"
50-54,female,Past Lives,"3,812"
18-24,female,Furiosa: A Mad Max Saga,"3,800"
25-29,female,Transformers: Rise of the Beasts,"3,798"
30-34,female,Another Simple Favor,"3,797"
40-44,female,Renfield,"3,785"
30-34,male,KPop Demon Hunters,"3,775"
45-49,female,Plane,"3,769"
30-34,female,Transformers: Rise of the Beasts,"3,762"
18-24,male,Materialists,"3,761"
50-54,female,How to Train Your Dragon,"3,747"
25-29,female,Jurassic World: Rebirth,"3,741"
45-49,male,Predator: Killer of Killers,"3,739"
30-34,female,Love Again,"3,725"
45-49,female,Past Lives,"3,724"
35-39,female,Ghostbusters: Frozen Empire,"3,724"
30-34,male,Past Lives,"3,714"
40-44,female,Mickey 17,"3,699"
35-39,female,Road House,"3,698"
35-39,female,Alien: Romulus,"3,690"
50-54,male,We Have a Ghost,"3,689"
18-24,male,The Iron Claw,"3,685"
35-39,female,Kung Fu Panda 4,"3,676"
45-49,female,The Zone of Interest,"3,673"
30-34,female,Air,"3,668"
30-34,female,You People,"3,662"
40-44,male,You People,"3,654"
45-49,female,Saw X,"3,652"
18-24,female,The Zone of Interest,"3,651"
40-44,female,Materialists,"3,650"
35-39,male,Teenage Mutant Ninja Turtles: Mutant Mayhem,"3,646"
35-39,female,Companion,"3,637"
45-49,female,Renfield,"3,629"
35-39,male,The Amateur,"3,613"
30-34,female,The Pope's Exorcist,"3,608"
25-29,female,Juror #2,"3,601"
25-29,female,Miller's Girl,"3,596"
50-54,female,The Zone of Interest,"3,593"
45-49,male,The Zone of Interest,"3,587"
40-44,female,Gran Turismo,"3,583"
45-49,female,Creed III,"3,575"
25-29,female,Heretic,"3,569"
35-39,female,Renfield,"3,568"
45-49,female,Mission: Impossible - The Final Reckoning,"3,553"
50-54,female,Mission: Impossible - The Final Reckoning,"3,546"
40-44,female,Another Simple Favor,"3,540"
30-34,male,Nimona,"3,537"
25-29,female,Gran Turismo,"3,532"
18-24,male,The Accountant 2,"3,530"
35-39,female,Totally Killer,"3,526"
50-54,female,Sinners,"3,516"
50-54,female,Gran Turismo,"3,512"
50-54,female,Pain Hustlers,"3,512"
30-34,male,Plane,"3,507"
35-39,male,You People,"3,506"
45-49,male,You People,"3,495"
30-34,female,Nimona,"3,493"
40-44,female,Pain Hustlers,"3,492"
40-44,female,Magic Mike's Last Dance,"3,488"
45-49,male,We Have a Ghost,"3,486"
18-24,male,The Amateur,"3,470"
30-34,female,Bad Boys: Ride or Die,"3,468"
35-39,female,65,"3,463"
18-24,female,The Exorcist: Believer,"3,462"
30-34,female,Saw X,"3,443"
25-29,male,Renfield,"3,402"
45-49,female,Companion,"3,396"
40-44,female,Companion,"3,379"
50-54,male,Weapons,"3,376"
50-54,female,Kung Fu Panda 4,"3,375"
25-29,female,Furiosa: A Mad Max Saga,"3,371"
50-54,female,Mickey 17,"3,370"
45-49,male,Transformers One,"3,366"
25-29,female,Weapons,"3,366"
45-49,female,Another Simple Favor,"3,356"
50-54,female,You People,"3,349"
18-24,male,Bob Marley: One Love,"3,342"
40-44,male,We Have a Ghost,"3,342"
40-44,male,Predator: Killer of Killers,"3,341"
30-34,male,Borderlands,"3,331"
35-39,male,Nimona,"3,328"
40-44,female,Saw X,"3,323"
35-39,female,Gran Turismo,"3,321"
35-39,female,Saw X,"3,317"
18-24,male,Borderlands,"3,316"
45-49,female,Pain Hustlers,"3,302"
18-24,male,Bring Her Back,"3,299"
30-34,female,Kung Fu Panda 4,"3,298"
40-44,male,The Zone of Interest,"3,295"
25-29,female,Another Simple Favor,"3,285"
25-29,male,The Accountant 2,"3,283"
50-54,male,Spaceman,"3,258"
25-29,male,The Zone of Interest,"3,256"
40-44,male,Nimona,"3,251"
50-54,female,Final Destination: Bloodlines,"3,236"
25-29,female,The Pope's Exorcist,"3,234"
25-29,male,Teenage Mutant Ninja Turtles: Mutant Mayhem,"3,230"
25-29,female,Bad Boys: Ride or Die,"3,224"
35-39,male,The Zone of Interest,"3,219"
30-34,male,The Zone of Interest,"3,214"
45-49,female,Bridget Jones: Mad About the Boy,"3,207"
35-39,female,Nimona,"3,205"
35-39,male,Past Lives,"3,201"
30-34,female,Gran Turismo,"3,199"
25-29,male,Until Dawn,"3,191"
35-39,female,A Minecraft Movie,"3,190"
25-29,male,Ghostbusters: Frozen Empire,"3,181"
30-34,female,Alien: Romulus,"3,180"
50-54,female,Bridget Jones: Mad About the Boy,"3,177"
45-49,male,MaXXXine,"3,168"
35-39,male,KPop Demon Hunters,"3,162"
35-39,female,The Equalizer 3,"3,156"
40-44,female,Plane,"3,150"
25-29,male,Totally Killer,"3,148"
50-54,female,The Accountant 2,"3,146"
50-54,female,Renfield,"3,141"
45-49,female,Materialists,"3,131"
50-54,female,Creed III,"3,130"
50-54,female,Magic Mike's Last Dance,"3,120"
50-54,male,Predator: Killer of Killers,"3,119"
45-49,female,Magic Mike's Last Dance,"3,119"
18-24,female,Ghostbusters: Frozen Empire,"3,118"
45-49,female,Expend4bles,"3,116"
30-34,female,We Have a Ghost,"3,116"
35-39,female,Pain Hustlers,"3,115"
35-39,female,The Zone of Interest,"3,106"
40-44,female,Totally Killer,"3,090"
40-44,male,Until Dawn,"3,089"
30-34,male,You People,"3,075"
50-54,female,Companion,"3,072"
50-54,male,Bob Marley: One Love,"3,059"
45-49,male,Bob Marley: One Love,"3,050"
40-44,female,The Zone of Interest,"3,050"
40-44,female,Nimona,"3,049"
45-49,male,Teenage Mutant Ninja Turtles: Mutant Mayhem,"3,042"
50-54,male,You People,"3,027"
40-44,male,Transformers One,"3,027"
40-44,female,Creed III,"3,009"
50-54,female,Expend4bles,"3,000"
18-24,female,Love Again,"2,998"
30-34,male,Teenage Mutant Ninja Turtles: Mutant Mayhem,"2,989"
45-49,female,The Accountant 2,"2,968"
45-49,female,Totally Killer,"2,968"
40-44,female,Bridget Jones: Mad About the Boy,"2,961"
30-34,male,Until Dawn,"2,925"
45-49,female,Nimona,"2,924"
30-34,female,Weapons,"2,922"
45-49,male,Past Lives,"2,916"
45-49,male,Nimona,"2,910"
25-29,male,MaXXXine,"2,908"
18-24,female,Magic Mike's Last Dance,"2,904"
25-29,female,Creed III,"2,902"
18-24,male,Warfare,"2,900"
30-34,male,The Amateur,"2,896"
35-39,female,Magic Mike's Last Dance,"2,890"
50-54,male,Nimona,"2,887"
25-29,male,Plane,"2,887"
45-49,female,The Exorcist: Believer,"2,886"
45-49,male,The Monkey,"2,877"
35-39,male,Until Dawn,"2,877"
18-24,female,Mission: Impossible - The Final Reckoning,"2,875"
25-29,female,Love Again,"2,875"
50-54,female,The Amateur,"2,874"
40-44,male,The Exorcist: Believer,"2,873"
30-34,female,Road House,"2,873"
50-54,female,The Exorcist: Believer,"2,869"
40-44,male,KPop Demon Hunters,"2,866"
30-34,male,Totally Killer,"2,864"
25-29,female,Alien: Romulus,"2,839"
40-44,male,Past Lives,"2,839"
18-24,male,You People,"2,832"
25-29,female,You People,"2,831"
45-49,male,The Exorcist: Believer,"2,831"
18-24,female,Ballerina,"2,827"
40-44,male,Bob Marley: One Love,"2,819"
45-49,male,Spaceman,"2,800"
35-39,male,We Have a Ghost,"2,797"
50-54,male,The Exorcist: Believer,"2,792"
18-24,male,Miller's Girl,"2,780"
30-34,female,Renfield,"2,779"
35-39,male,Totally Killer,"2,777"
30-34,female,The Zone of Interest,"2,776"
40-44,female,Weapons,"2,774"
25-29,female,A Minecraft Movie,"2,773"
50-54,male,MaXXXine,"2,769"
45-49,male,Until Dawn,"2,752"
40-44,male,Totally Killer,"2,751"
18-24,female,We Have a Ghost,"2,749"
18-24,female,65,"2,741"
35-39,female,Weapons,"2,740"
25-29,female,All of Us Strangers,"2,736"
30-34,female,Miller's Girl,"2,719"
30-34,female,65,"2,710"
40-44,male,MaXXXine,"2,698"
45-49,female,Bob Marley: One Love,"2,695"
45-49,female,Weapons,"2,695"
40-44,male,Spaceman,"2,672"
45-49,male,Warfare,"2,670"
40-44,female,The Exorcist: Believer,"2,664"
25-29,female,The Map That Leads to You,"2,654"
18-24,female,Cocaine Bear,"2,647"
40-44,female,The Accountant 2,"2,645"
18-24,female,Bob Marley: One Love,"2,642"
35-39,female,Creed III,"2,640"
30-34,male,MaXXXine,"2,638"
50-54,female,A Minecraft Movie,"2,638"
25-29,male,The Iron Claw,"2,635"
35-39,male,MaXXXine,"2,623"
45-49,female,Miller's Girl,"2,622"
45-49,female,Cocaine Bear,"2,616"
18-24,female,You People,"2,616"
50-54,female,Saw X,"2,610"
40-44,male,The Monkey,"2,599"
40-44,female,Mission: Impossible - The Final Reckoning,"2,598"
50-54,male,Warfare,"2,591"
45-49,male,Totally Killer,"2,589"
45-49,male,The Iron Claw,"2,582"
30-34,female,Pain Hustlers,"2,579"
40-44,female,Expend4bles,"2,576"
35-39,male,The Exorcist: Believer,"2,571"
18-24,female,The Monkey,"2,569"
45-49,male,KPop Demon Hunters,"2,564"
30-34,female,Magic Mike's Last Dance,"2,562"
35-39,female,Miller's Girl,"2,560"
18-24,female,Air,"2,551"
40-44,female,Cocaine Bear,"2,544"
35-39,male,Predator: Killer of Killers,"2,535"
25-29,male,Transformers One,"2,524"
40-44,female,Ballerina,"2,523"
50-54,female,Totally Killer,"2,521"
50-54,female,Materialists,"2,514"
40-44,male,Pain Hustlers,"2,509"
40-44,male,Warfare,"2,508"
25-29,female,Air,"2,506"
45-49,male,Pain Hustlers,"2,502"
50-54,female,Another Simple Favor,"2,502"
35-39,male,The Iron Claw,"2,501"
25-29,female,The Zone of Interest,"2,500"
40-44,male,The Iron Claw,"2,498"
25-29,male,Borderlands,"2,498"
25-29,male,All of Us Strangers,"2,494"
30-34,female,All of Us Strangers,"2,488"
18-24,female,Road House,"2,486"
18-24,male,Spaceman,"2,485"
25-29,male,The Amateur,"2,479"
30-34,female,Creed III,"2,479"
45-49,female,Ballerina,"2,477"
40-44,female,All of Us Strangers,"2,475"
35-39,female,Plane,"2,472"
35-39,female,Ballerina,"2,463"
25-29,male,The Conjuring: Last Rites,"2,456"
45-49,female,All of Us Strangers,"2,438"
40-44,female,Miller's Girl,"2,434"
25-29,male,Upgraded,"2,429"
35-39,female,Bridget Jones: Mad About the Boy,"2,429"
25-29,male,You People,"2,420"
30-34,female,Ghostbusters: Frozen Empire,"2,412"
35-39,male,The Monkey,"2,407"
40-44,female,Bob Marley: One Love,"2,404"
25-29,male,Materialists,"2,395"
30-34,male,The Iron Claw,"2,394"
30-34,female,A Minecraft Movie,"2,390"
50-54,male,Pain Hustlers,"2,383"
45-49,female,The Amateur,"2,383"
35-39,male,Transformers One,"2,382"
50-54,male,Totally Killer,"2,371"
50-54,male,Past Lives,"2,369"
50-54,male,Transformers One,"2,369"
50-54,female,Miller's Girl,"2,367"
18-24,male,One Battle After Another,"2,364"
25-29,female,MaXXXine,"2,362"
25-29,female,We Have a Ghost,"2,353"
35-39,male,Bob Marley: One Love,"2,351"
35-39,male,Pain Hustlers,"2,345"
50-54,female,Bob Marley: One Love,"2,339"
35-39,female,Mission: Impossible - The Final Reckoning,"2,316"
35-39,male,Spaceman,"2,314"
50-54,female,Cocaine Bear,"2,309"
50-54,male,Sharper,"2,302"
35-39,female,All of Us Strangers,"2,295"
35-39,male,Warfare,"2,290"
18-24,female,Renfield,"2,287"
25-29,male,The Monkey,"2,275"
50-54,female,Nimona,"2,269"
30-34,male,All of Us Strangers,"2,266"
30-34,male,Materialists,"2,248"
18-24,female,Lisa Frankenstein,"2,247"
25-29,female,Until Dawn,"2,244"
25-29,female,The Conjuring: Last Rites,"2,242"
50-54,female,Ballerina,"2,241"
30-34,male,The Monkey,"2,238"
30-34,female,Ballerina,"2,235"
45-49,male,M3GAN 2.0,"2,219"
30-34,female,The Equalizer 3,"2,194"
25-29,female,Magic Mike's Last Dance,"2,189"
30-34,female,The Map That Leads to You,"2,189"
40-44,male,M3GAN 2.0,"2,183"
45-49,female,The Map That Leads to You,"2,183"
25-29,male,The Exorcist: Believer,"2,179"
25-29,female,Renfield,"2,175"
35-39,female,The Exorcist: Believer,"2,173"
30-34,male,We Have a Ghost,"2,172"
35-39,female,Cocaine Bear,"2,163"
25-29,male,Bring Her Back,"2,161"
30-34,male,The Exorcist: Believer,"2,159"
18-24,male,We Have a Ghost,"2,150"
35-39,female,Expend4bles,"2,148"
25-29,female,65,"2,145"
30-34,male,Transformers One,"2,126"
25-29,female,Road House,"2,116"
50-54,female,Weapons,"2,113"
30-34,male,Bring Her Back,"2,111"
45-49,male,Sharper,"2,103"
18-24,female,Bridget Jones: Mad About the Boy,"2,101"
18-24,male,Dream Scenario,"2,101"
18-24,female,Teenage Mutant Ninja Turtles: Mutant Mayhem,"2,068"
50-54,male,M3GAN 2.0,"2,067"
45-49,female,Cobweb,"2,062"
18-24,male,M3GAN 2.0,"2,060"
30-34,female,Bridget Jones: Mad About the Boy,"2,059"
35-39,male,Bring Her Back,"2,050"
50-54,female,All of Us Strangers,"2,048"
50-54,male,The Killer,"2,046"
40-44,female,I Am: Celine Dion,"2,043"
30-34,male,Warfare,"2,040"
50-54,male,The Monkey,"2,027"
50-54,male,Until Dawn,"2,026"
30-34,male,Upgraded,"2,019"
35-39,male,All of Us Strangers,"2,017"
18-24,female,Bring Her Back,"2,014"
30-34,female,Until Dawn,"2,000"
45-49,male,Dream Scenario,"1,995"
18-24,male,Predator: Killer of Killers,"1,990"
35-39,male,Materialists,"1,984"
40-44,female,You're Cordially Invited,"1,980"
50-54,female,I Am: Celine Dion,"1,979"
35-39,female,The Accountant 2,"1,978"
18-24,female,Joy Ride,"1,977"
30-34,female,Plane,"1,974"
50-54,female,The Map That Leads to You,"1,963"
25-29,female,Ballerina,"1,956"
25-29,male,Warfare,"1,955"
30-34,female,MaXXXine,"1,944"
25-29,female,Pain Hustlers,"1,935"
30-34,male,Predator: Killer of Killers,"1,935"
40-44,male,Bring Her Back,"1,927"
25-29,female,Ghostbusters: Frozen Empire,"1,927"
25-29,female,The Exorcist: Believer,"1,920"
30-34,female,Mission: Impossible - The Final Reckoning,"1,913"
35-39,female,The Map That Leads to You,"1,911"
50-54,female,You're Cordially Invited,"1,911"
18-24,male,Cobweb,"1,908"
18-24,female,Plane,"1,906"
45-49,female,Sharper,"1,906"
30-34,male,Bob Marley: One Love,"1,899"
50-54,male,KPop Demon Hunters,"1,896"
50-54,male,Deep Cover,"1,895"
35-39,female,You're Cordially Invited,"1,893"
35-39,male,M3GAN 2.0,"1,891"
50-54,male,They Cloned Tyrone,"1,889"
50-54,male,The Iron Claw,"1,885"
18-24,female,Pain Hustlers,"1,882"
50-54,male,Upgraded,"1,874"
45-49,female,You're Cordially Invited,"1,874"
45-49,male,Cobweb,"1,873"
45-49,male,All of Us Strangers,"1,865"
40-44,female,The Map That Leads to You,"1,864"
18-24,female,The Equalizer 3,"1,863"
35-39,female,MaXXXine,"1,861"
30-34,female,Cocaine Bear,"1,855"
30-34,female,The Exorcist: Believer,"1,852"
40-44,male,They Cloned Tyrone,"1,849"
30-34,male,Pain Hustlers,"1,844"
40-44,male,Dream Scenario,"1,839"
40-44,female,The Amateur,"1,832"
45-49,female,Borderlands,"1,829"
45-49,female,Until Dawn,"1,828"
18-24,female,Música,"1,825"
35-39,male,Upgraded,"1,824"
45-49,female,MaXXXine,"1,812"
18-24,male,Night Swim,"1,809"
45-49,female,I Am: Celine Dion,"1,804"
25-29,male,Bob Marley: One Love,"1,779"
45-49,female,The Monkey,"1,776"
18-24,male,They Cloned Tyrone,"1,776"
40-44,male,All of Us Strangers,"1,774"
25-29,female,Mission: Impossible - The Final Reckoning,"1,765"
30-34,female,Joy Ride,"1,761"
18-24,male,Pain Hustlers,"1,748"
35-39,male,Dream Scenario,"1,744"
25-29,female,Cocaine Bear,"1,741"
40-44,female,Borderlands,"1,736"
50-54,male,Night Swim,"1,730"
45-49,male,Bring Her Back,"1,728"
18-24,female,Cobweb,"1,724"
30-34,male,The Conjuring: Last Rites,"1,716"
45-49,female,The Conjuring: Last Rites,"1,711"
