
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
45-49,male,Aquaman and The Lost Kingdom,"15,387"
18-24,male,Sinners,"15,333"
50-54,male,Extraction 2,"15,318"
18-24,male,The Nun II,"15,316"
30-34,male,The Flash,"15,315"
30-34,female,The Hunger Games: The Ballad of Songbirds & Snakes,"15,247"
50-54,male,Fast X,"15,220"
50-54,male,Aquaman and The Lost Kingdom,"15,219"
18-24,male,Evil Dead Rise,"15,177"
40-44,male,Aquaman and The Lost Kingdom,"15,096"
25-29,female,Saltburn,"14,767"
50-54,male,The Flash,"14,703"
45-49,female,Wonka,"14,702"
45-49,male,Extraction 2,"14,637"
35-39,male,Shazam! Fury of the Gods,"14,564"
18-24,male,The Fall Guy,"14,526"
25-29,male,The Flash,"14,523"
25-29,male,Dungeons & Dragons: Honor Among Thieves,"14,487"
18-24,male,A Minecraft Movie,"14,484"
18-24,male,Gladiator II,"14,390"
40-44,male,Extraction 2,"14,362"
18-24,male,Murder Mystery 2,"14,169"
50-54,female,Wonka,"14,167"
35-39,male,Mission: Impossible – Dead Reckoning Part One,"14,133"
30-34,male,The Hunger Games: The Ballad of Songbirds & Snakes,"14,119"
25-29,male,Wonka,"13,696"
50-54,male,Shazam! Fury of the Gods,"13,695"
50-54,male,Transformers: Rise of the Beasts,"13,654"
35-39,male,Aquaman and The Lost Kingdom,"13,629"
50-54,female,The Super Mario Bros. Movie,"13,601"
30-34,female,Wonka,"13,480"
18-24,female,The Nun II,"13,397"
30-34,male,Shazam! Fury of the Gods,"13,352"
40-44,male,Blue Beetle,"13,169"
