
"Source: Whip Media CVMi. Stopmotion,Flow (2025),The Lord of the Rings: The War of the Rohirrim,Solo Leveling: ReAwakening,Mobile Suit Gundam SEED Freedom,The Boy and the Heron,Suzume,THE FIRST SLAM DUNK,Predator: Killer of Killers. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Mobile Suit Gundam SEED Freedom,female,45-49,6
Mobile Suit Gundam SEED Freedom,female,25-29,4
Mobile Suit Gundam SEED Freedom,female,18-24,2
The Boy and the Heron,female,,0
Suzume,,35-39,0
THE FIRST SLAM DUNK,,18-24,0
The Boy and the Heron,,35-39,0
THE FIRST SLAM DUNK,,35-39,0
Flow,,18-24,0
The Boy and the Heron,,18-24,0
Predator: Killer of Killers,male,,0
THE FIRST SLAM DUNK,,25-29,0
The Lord of the Rings: The War of the Rohirrim,male,,0
The Boy and the Heron,male,,0
Suzume,,40-44,0
The Boy and the Heron,female,16-17,0
Suzume,,18-24,0
Flow,male,,0
Suzume,male,16-17,0
Flow,,35-39,0
Suzume,female,,0
Mobile Suit Gundam SEED Freedom,,25-29,0
THE FIRST SLAM DUNK,female,16-17,0
The Lord of the Rings: The War of the Rohirrim,,35-39,0
The Boy and the Heron,,40-44,0
THE FIRST SLAM DUNK,,30-34,0
Flow,,25-29,0
The Lord of the Rings: The War of the Rohirrim,,18-24,0
Flow,,40-44,0
Stopmotion,,18-24,0
The Boy and the Heron,,25-29,0
Solo Leveling: ReAwakening,,30-34,0
The Lord of the Rings: The War of the Rohirrim,,25-29,0
Suzume,,30-34,0
Flow,male,16-17,0
Predator: Killer of Killers,,40-44,0
Predator: Killer of Killers,,18-24,0
Predator: Killer of Killers,,25-29,0
Flow,female,,0
Solo Leveling: ReAwakening,,25-29,0
Flow,,30-34,0
Predator: Killer of Killers,,35-39,0
Flow,,,0
Suzume,,,0
Suzume,,25-29,0
Predator: Killer of Killers,,,0
The Boy and the Heron,,,0
Flow,,50-54,0
Suzume,female,16-17,0
Flow,female,16-17,0
The Lord of the Rings: The War of the Rohirrim,,30-34,0
The Lord of the Rings: The War of the Rohirrim,female,16-17,0
The Boy and the Heron,,30-34,0
The Boy and the Heron,male,16-17,0
Stopmotion,,25-29,0
Mobile Suit Gundam SEED Freedom,female,40-44,0
Solo Leveling: ReAwakening,,18-24,0
