
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Zola,male,40-44,212
Laggies,male,40-44,210
Opus,female,45-49,208
Opus,female,18-24,208
Clemency,female,50-54,207
Laggies,male,18-24,207
Y2K,female,45-49,207
Zola,female,40-44,205
Vox Lux,female,18-24,205
Mississippi Grind,male,50-54,205
Zola,male,35-39,204
Beach Rats,female,35-39,204
While We're Young,female,25-29,202
Zola,female,35-39,202
The Sea of Trees,female,50-54,201
Vox Lux,male,40-44,201
"Sorry, Baby",male,18-24,200
Life After Beth,female,35-39,198
Laggies,male,30-34,197
The Legend of Ochi,male,30-34,197
Opus,male,30-34,196
The Legend of Ochi,female,40-44,196
Y2K,female,35-39,195
Vox Lux,female,25-29,195
Life After Beth,female,25-29,195
First Cow,male,25-29,194
Cut Bank,male,50-54,194
Laggies,male,35-39,193
Opus,female,35-39,193
Opus,male,35-39,193
Beach Rats,female,30-34,191
Life After Beth,female,30-34,190
The Last Black Man in San Francisco,male,25-29,188
Bodied,male,18-24,185
Opus,female,40-44,185
Laggies,male,25-29,185
While We're Young,male,35-39,182
While We're Young,male,18-24,181
Opus,female,30-34,181
The Kill Team,male,30-34,181
While We're Young,male,30-34,180
Vox Lux,male,30-34,179
Skin,female,18-24,179
Dark Places,male,25-29,179
Life After Beth,male,40-44,178
Opus,male,25-29,177
Opus,male,50-54,177
The Kill Team,male,25-29,177
Mississippi Grind,male,18-24,176
Skin,male,25-29,176
Zola,female,50-54,176
Luce,female,25-29,176
Beach Rats,female,50-54,175
Mississippi Grind,male,45-49,175
Life After Beth,male,18-24,174
The Legend of Ochi,male,25-29,173
Life After Beth,female,45-49,172
Clemency,female,40-44,172
Vox Lux,male,25-29,171
The Front Room,female,50-54,171
Friendship,female,40-44,169
VAL,male,35-39,169
The Front Room,female,35-39,168
While We're Young,female,18-24,168
Vox Lux,male,35-39,167
Zola,male,45-49,167
Opus,female,25-29,166
Beach Rats,female,40-44,166
Woman Walks Ahead,female,45-49,165
The Front Room,male,40-44,165
Friendship,female,35-39,163
Mississippi Grind,male,35-39,162
Life After Beth,female,40-44,160
Luce,male,30-34,160
"Sorry, Baby",female,18-24,160
Dark Places,male,18-24,158
Problemista,male,50-54,158
The Front Room,female,40-44,158
Life After Beth,male,35-39,158
Vox Lux,male,18-24,157
Luce,male,18-24,156
Laggies,male,45-49,156
While We're Young,male,25-29,156
Skin,female,25-29,156
First Cow,male,30-34,156
The Kill Team,female,50-54,154
Laggies,male,50-54,153
The Sea of Trees,female,40-44,151
The Last Black Man in San Francisco,female,18-24,151
Luce,female,18-24,150
The Front Room,male,35-39,149
The Last Black Man in San Francisco,male,30-34,149
The Sea of Trees,male,45-49,148
Opus,female,50-54,147
Tuesday,male,40-44,147
Friendship,female,30-34,146
The Front Room,male,18-24,146
Life After Beth,male,45-49,144
The Sea of Trees,male,35-39,144
Life After Beth,male,30-34,144
Hot Summer Nights,male,50-54,142
Clemency,male,45-49,141
The Last Black Man in San Francisco,male,35-39,141
Luce,male,25-29,141
Clemency,male,50-54,140
The Last Black Man in San Francisco,male,40-44,139
The Kill Team,female,40-44,139
Stephen Curry: Underrated,female,45-49,138
Tuesday,male,50-54,138
Stephen Curry: Underrated,female,40-44,137
The Front Room,male,45-49,137
The Sea of Trees,female,35-39,136
Mississippi Grind,male,40-44,135
The Smashing Machine,male,18-24,134
VAL,female,35-39,133
Highest 2 Lowest,female,30-34,131
The Front Room,female,30-34,130
"Sorry, Baby",female,40-44,130
The Sea of Trees,male,40-44,129
The Legend of Ochi,female,35-39,129
Mississippi Grind,male,30-34,129
The Last Black Man in San Francisco,female,45-49,128
Stephen Curry: Underrated,female,50-54,127
The Front Room,male,30-34,127
Mississippi Grind,male,25-29,125
The Last Black Man in San Francisco,female,40-44,125
Tuesday,female,45-49,124
Zola,male,50-54,124
Problemista,male,18-24,124
Y2K,female,50-54,122
The Legend of Ochi,female,18-24,122
Obvious Child,female,30-34,121
Life After Beth,female,50-54,121
Cut Bank,male,45-49,121
The Eternal Daughter,female,45-49,120
The Inspection,male,45-49,120
The Legend of Ochi,female,30-34,119
"Sorry, Baby",female,45-49,118
"Sorry, Baby",female,30-34,118
"Sorry, Baby",female,35-39,118
Friendship,female,45-49,117
"Sorry, Baby",male,25-29,117
Boys State,male,50-54,117
The Legend of Ochi,female,45-49,116
"Sorry, Baby",female,25-29,115
"Sorry, Baby",male,35-39,115
Where to Invade Next,male,45-49,114
First Cow,female,40-44,114
Woman Walks Ahead,female,50-54,114
The Eternal Daughter,male,45-49,113
Life After Beth,male,25-29,113
The Last Black Man in San Francisco,male,45-49,112
Problemista,male,30-34,112
The Eternal Daughter,male,18-24,111
The Front Room,male,50-54,110
"Sorry, Baby",male,40-44,109
Problemista,male,35-39,109
Boys State,male,18-24,108
First Cow,female,50-54,107
Cut Bank,female,45-49,107
The Sea of Trees,female,30-34,106
The Eternal Daughter,female,50-54,106
First Cow,female,35-39,105
The Eternal Daughter,female,40-44,105
Clemency,female,35-39,104
The Inspection,male,35-39,104
The Inspection,male,50-54,103
Bodied,male,25-29,103
Problemista,male,40-44,103
The Adderall Diaries,female,50-54,103
The Last Black Man in San Francisco,female,35-39,103
Problemista,female,50-54,103
The Sea of Trees,male,30-34,102
"Sorry, Baby",male,30-34,102
First Cow,female,45-49,99
Tuesday,male,45-49,99
The Vanishing of Sidney Hall,female,18-24,99
VAL,male,18-24,98
Friendship,female,18-24,97
The Inspection,male,40-44,97
Cut Bank,male,40-44,97
The Kill Team,female,30-34,96
Friendship,female,25-29,96
Life After Beth,male,50-54,95
The Last Black Man in San Francisco,female,30-34,95
The Front Room,male,25-29,95
Problemista,male,25-29,94
"Sorry, Baby",male,45-49,94
Stephen Curry: Underrated,female,18-24,94
The Inspection,male,18-24,93
Low Tide,male,50-54,93
Obvious Child,female,25-29,93
The End of the Tour,male,40-44,92
VAL,male,30-34,92
Tuesday,female,40-44,91
The Front Room,female,18-24,91
The Inspection,male,30-34,90
Dicks: The Musical,male,40-44,89
The Kill Team,female,18-24,89
Totally Under Control,male,50-54,89
Stephen Curry: Underrated,female,35-39,89
The Last Black Man in San Francisco,female,25-29,88
The Adderall Diaries,female,45-49,88
The Inspection,female,45-49,87
The Inspection,male,25-29,86
The End of the Tour,male,30-34,85
The Sea of Trees,male,25-29,85
Mississippi Grind,female,50-54,85
Stephen Curry: Underrated,female,30-34,85
Clemency,male,40-44,84
The Front Room,female,25-29,83
The Clark Sisters: First Ladies of Gospel,female,50-54,83
First Cow,female,30-34,83
Mississippi Grind,female,45-49,83
First Cow,female,18-24,82
The Inspection,female,40-44,82
The Eternal Daughter,female,35-39,81
Problemista,male,45-49,81
The Adderall Diaries,female,18-24,81
The Adderall Diaries,female,35-39,81
Dicks: The Musical,male,35-39,81
Tuesday,male,35-39,80
Woman Walks Ahead,female,40-44,80
Friendship,female,50-54,80
Gemini,male,50-54,79
Cut Bank,female,50-54,79
The Legend of Ochi,female,25-29,79
The Inspection,female,50-54,79
Stephen Curry: Underrated,female,25-29,79
The Last Black Man in San Francisco,female,50-54,78
Tuesday,female,50-54,77
Obvious Child,female,35-39,76
The Eternal Daughter,male,50-54,76
Dicks: The Musical,male,30-34,76
The Vanishing of Sidney Hall,female,25-29,76
Woman Walks Ahead,female,35-39,76
Boys State,male,40-44,75
Boys State,male,35-39,75
Problemista,female,40-44,75
Highest 2 Lowest,female,25-29,74
Boys State,male,30-34,74
Cut Bank,male,35-39,74
The Eternal Daughter,male,40-44,74
Low Tide,female,45-49,74
Highest 2 Lowest,female,18-24,74
VAL,male,25-29,73
Clemency,female,30-34,73
Dicks: The Musical,male,25-29,72
Where to Invade Next,female,45-49,72
The Biggest Little Farm,female,40-44,72
The Sea of Trees,female,25-29,72
The Vanishing of Sidney Hall,female,45-49,72
The End of the Tour,male,18-24,72
The Vanishing of Sidney Hall,male,18-24,71
The Smashing Machine,male,35-39,71
Where to Invade Next,male,40-44,71
The Kill Team,female,35-39,71
The Kill Team,female,25-29,71
Tuesday,male,30-34,71
Native Son,male,45-49,70
First Cow,female,25-29,70
The Biggest Little Farm,female,35-39,70
Boys State,male,25-29,70
The Vanishing of Sidney Hall,female,50-54,69
Showing Up,female,45-49,69
Obvious Child,female,18-24,69
The Eternal Daughter,male,35-39,68
Problemista,female,18-24,68
The End of the Tour,male,25-29,68
Bodied,male,35-39,67
The Sea of Trees,male,18-24,67
The Last Black Man in San Francisco,male,50-54,67
Totally Under Control,female,45-49,66
"Sorry, Baby",female,50-54,66
The Biggest Little Farm,male,35-39,66
Showing Up,female,40-44,66
The Vanishing of Sidney Hall,female,35-39,66
Bodied,male,30-34,66
The Smashing Machine,male,25-29,65
Where to Invade Next,male,50-54,65
Where to Invade Next,male,35-39,65
The Sea of Trees,female,18-24,65
The Eternal Daughter,female,30-34,65
Showing Up,male,18-24,64
Problemista,female,30-34,64
The Eternal Daughter,female,18-24,64
Woman Walks Ahead,male,45-49,63
Amazing Grace,male,50-54,63
Clemency,male,35-39,63
Where to Invade Next,male,30-34,63
The End of the Tour,male,35-39,63
Totally Under Control,male,45-49,62
Obvious Child,female,40-44,62
Gemini,female,45-49,62
The End of the Tour,male,45-49,62
Problemista,female,35-39,62
The Adderall Diaries,female,25-29,62
The Vanishing of Sidney Hall,female,30-34,61
The Smashing Machine,male,30-34,61
Low Tide,male,45-49,61
Woman Walks Ahead,female,18-24,60
The Adderall Diaries,female,40-44,60
Showing Up,male,50-54,60
Problemista,female,25-29,60
The End of the Tour,female,40-44,60
Dicks: The Musical,male,18-24,60
Boys State,male,45-49,59
Low Tide,female,50-54,59
Tuesday,male,18-24,58
Mississippi Grind,female,40-44,58
The Death of Dick Long,male,45-49,58
The Biggest Little Farm,male,45-49,58
The Eternal Daughter,male,25-29,57
Problemista,female,45-49,57
The Lovers,female,40-44,57
The Biggest Little Farm,female,18-24,57
Where to Invade Next,male,18-24,57
The Adderall Diaries,female,30-34,56
Showing Up,male,45-49,56
Amazing Grace,female,45-49,56
The Biggest Little Farm,male,40-44,55
The Eternal Daughter,male,30-34,55
The Biggest Little Farm,female,30-34,55
Woman Walks Ahead,female,30-34,55
Obvious Child,female,50-54,54
The Biggest Little Farm,male,50-54,54
The Adderall Diaries,male,45-49,54
Low Tide,female,18-24,53
Tuesday,female,35-39,53
Dicks: The Musical,female,35-39,53
Mississippi Grind,female,30-34,53
The Vanishing of Sidney Hall,male,25-29,53
Amazing Grace,male,45-49,52
Showing Up,female,35-39,52
The Biggest Little Farm,male,18-24,52
The End of the Tour,female,35-39,52
Gemini,female,18-24,51
Dicks: The Musical,male,45-49,51
Where to Invade Next,female,40-44,50
Dicks: The Musical,female,40-44,50
Native Son,female,18-24,50
Woman Walks Ahead,female,25-29,50
The Smashing Machine,male,40-44,49
Menashe,female,50-54,49
Native Son,female,45-49,49
The Death of Dick Long,male,40-44,49
The End of the Tour,female,50-54,49
The Inspection,female,18-24,49
Where to Invade Next,male,25-29,48
Dicks: The Musical,female,18-24,48
The Smashing Machine,male,50-54,48
The End of the Tour,female,30-34,48
Where to Invade Next,female,18-24,48
The Death of Dick Long,female,40-44,48
Showing Up,female,18-24,48
The Death of Dick Long,male,35-39,47
VAL,female,30-34,47
Showing Up,female,30-34,47
The Death of Dick Long,male,18-24,46
The Vanishing of Sidney Hall,female,40-44,46
The Biggest Little Farm,male,30-34,46
The Death of Dick Long,male,25-29,46
Cut Bank,female,30-34,46
Janet Planet,male,50-54,46
Showing Up,male,40-44,46
Showing Up,female,50-54,45
Tuesday,male,25-29,45
Clemency,male,30-34,45
The Ballad of Lefty Brown,male,45-49,45
Mississippi Grind,female,35-39,45
Low Tide,male,18-24,45
Low Tide,male,40-44,45
Showing Up,male,30-34,44
The Vanishing of Sidney Hall,male,35-39,43
Cut Bank,male,30-34,43
Showing Up,male,35-39,43
Native Son,male,25-29,43
Gemini,female,50-54,43
Gemini,female,30-34,43
Gemini,male,40-44,42
The End of the Tour,male,50-54,42
Where to Invade Next,female,25-29,42
Showing Up,male,25-29,42
Native Son,male,18-24,42
Native Son,male,35-39,41
Gemini,female,35-39,41
"Sorry, Baby",male,50-54,41
The Vanishing of Sidney Hall,male,30-34,40
Cut Bank,female,40-44,40
Dicks: The Musical,female,30-34,39
Native Son,male,30-34,39
The Biggest Little Farm,female,50-54,39
The Death of Dick Long,male,30-34,39
Where to Invade Next,female,30-34,39
The Biggest Little Farm,female,45-49,39
Obvious Child,male,30-34,38
Bodied,male,45-49,38
Tuesday,female,30-34,38
The Biggest Little Farm,female,25-29,38
Native Son,female,40-44,38
Boys State,female,40-44,37
Native Son,male,40-44,37
The Eternal Daughter,female,25-29,37
Gemini,female,40-44,37
Obvious Child,male,18-24,37
The Smashing Machine,female,18-24,37
Janet Planet,male,40-44,37
All Dirt Roads Taste of Salt,male,50-54,37
The Ballad of Lefty Brown,male,50-54,37
The End of the Tour,female,18-24,36
The Inspection,female,30-34,36
The Smashing Machine,male,45-49,36
Gemini,male,45-49,36
Gemini,female,25-29,36
Janet Planet,male,45-49,36
The Lovers,female,45-49,35
Mississippi Grind,female,18-24,35
Clemency,female,25-29,35
Janet Planet,female,40-44,35
The Ballad of Lefty Brown,male,40-44,35
Dicks: The Musical,male,50-54,35
The Vanishing of Sidney Hall,male,45-49,35
Cut Bank,male,18-24,34
Low Tide,female,35-39,34
Showing Up,female,25-29,34
A Glimpse Inside the Mind of Charles Swan III,male,50-54,34
The Adderall Diaries,male,50-54,34
Obvious Child,female,45-49,34
Cut Bank,male,25-29,33
VAL,female,18-24,33
Earth Mama,female,45-49,33
Amazing Grace,female,50-54,33
Obvious Child,male,35-39,33
Bodied,male,40-44,32
Native Son,female,25-29,32
The Adderall Diaries,male,40-44,32
Spaceship Earth,male,45-49,32
Boys State,female,35-39,32
Woman Walks Ahead,male,40-44,32
Monsters and Men,male,45-49,31
The End of the Tour,female,45-49,31
Boys State,female,45-49,31
The Actor,female,40-44,31
The End of the Tour,female,25-29,31
The Adderall Diaries,male,30-34,31
Native Son,female,35-39,30
Native Son,female,30-34,30
The Adderall Diaries,male,18-24,30
The Lovers,male,50-54,30
Amazing Grace,male,35-39,30
The Biggest Little Farm,male,25-29,29
Gemini,male,30-34,29
Cut Bank,female,18-24,29
The Death of Dick Long,female,45-49,29
The Smashing Machine,female,45-49,29
Woman Walks Ahead,male,18-24,29
Dicks: The Musical,female,25-29,28
Clemency,male,18-24,28
Spaceship Earth,male,35-39,28
Gemini,male,35-39,28
Obvious Child,male,40-44,28
Low Tide,male,30-34,28
Cut Bank,female,25-29,28
Low Tide,male,25-29,28
Amazing Grace,female,35-39,28
Boys State,female,18-24,28
Dicks: The Musical,female,45-49,28
Cut Bank,female,35-39,27
The Adderall Diaries,male,25-29,27
The Inspection,female,25-29,27
Boys State,female,30-34,27
The Inspection,female,35-39,27
Tuesday,female,25-29,27
Where to Invade Next,female,35-39,27
The Clark Sisters: First Ladies of Gospel,male,40-44,26
Low Tide,male,35-39,26
Bodied,female,18-24,26
Krisha,male,18-24,26
Woman Walks Ahead,male,35-39,26
Mississippi Grind,female,25-29,26
The Adderall Diaries,male,35-39,26
The Lovers,female,35-39,26
Obvious Child,male,45-49,25
Spaceship Earth,male,40-44,25
Krisha,male,25-29,25
The Ballad of Lefty Brown,male,30-34,25
Clemency,female,18-24,25
Woodshock,female,45-49,25
Mojave,male,45-49,25
Obvious Child,male,25-29,24
Mojave,male,50-54,24
Totally Under Control,female,50-54,24
Native Son,female,50-54,24
A Glimpse Inside the Mind of Charles Swan III,male,18-24,24
VAL,female,25-29,24
The Clark Sisters: First Ladies of Gospel,female,45-49,24
Spaceship Earth,female,50-54,24
The Smashing Machine,female,30-34,23
Amazing Grace,female,40-44,23
Monsters and Men,male,35-39,23
Woodshock,female,40-44,23
Amazing Grace,male,40-44,23
Low Tide,female,25-29,22
Clemency,male,25-29,22
Monsters and Men,male,40-44,22
Krisha,male,45-49,22
Woman Walks Ahead,male,50-54,22
The Ballad of Lefty Brown,male,35-39,22
Janet Planet,male,18-24,22
Totally Under Control,male,35-39,22
The Smashing Machine,female,35-39,21
Janet Planet,female,18-24,21
The Vanishing of Sidney Hall,male,50-54,21
Woman Walks Ahead,male,30-34,21
Gemini,male,25-29,21
Amazing Grace,male,30-34,21
Totally Under Control,male,40-44,20
Mojave,female,30-34,20
Tuesday,female,18-24,20
Gemini,male,18-24,20
Monsters and Men,female,40-44,20
Obvious Child,male,50-54,20
The Smashing Machine,female,50-54,20
The Lovers,female,30-34,20
The Clark Sisters: First Ladies of Gospel,female,35-39,20
A Glimpse Inside the Mind of Charles Swan III,male,40-44,20
Mojave,male,40-44,19
Totally Under Control,male,30-34,19
Boys State,female,25-29,19
The Ballad of Lefty Brown,female,50-54,19
Boys State,female,50-54,19
Mojave,female,18-24,19
Janet Planet,female,25-29,19
The Ballad of Lefty Brown,male,25-29,19
Janet Planet,male,35-39,19
Native Son,male,50-54,19
Krisha,female,40-44,18
Janet Planet,male,30-34,18
Janet Planet,female,45-49,18
Where to Invade Next,female,50-54,18
The Ballad of Lefty Brown,male,18-24,18
Janet Planet,male,25-29,18
Woman Walks Ahead,male,25-29,18
Mojave,female,35-39,18
The Death of Dick Long,female,35-39,17
Krisha,male,30-34,17
Totally Under Control,female,40-44,17
Spaceship Earth,male,18-24,17
Jerrod Carmichael: 8,male,30-34,17
The Vanishing of Sidney Hall,male,40-44,16
Marty Supreme,male,50-54,16
Bodied,female,25-29,16
Woodshock,male,45-49,16
A Glimpse Inside the Mind of Charles Swan III,male,35-39,16
The Smashing Machine,female,25-29,16
Spaceship Earth,female,40-44,16
The Clark Sisters: First Ladies of Gospel,female,40-44,16
Totally Under Control,female,35-39,15
Krisha,male,40-44,15
Earth Mama,male,18-24,15
Low Tide,female,30-34,15
Earth Mama,female,40-44,15
Janet Planet,female,30-34,15
Janet Planet,female,35-39,15
Earth Mama,female,18-24,15
Mojave,male,18-24,15
Mojave,female,50-54,15
Monsters and Men,female,18-24,14
Amazing Grace,female,30-34,14
Woodshock,male,25-29,14
Bodied,female,45-49,14
The Ballad of Lefty Brown,female,40-44,14
The B-Side: Elsa Dorfman's Portrait Photography,female,35-39,14
The Lovers,male,45-49,14
All Dirt Roads Taste of Salt,male,45-49,14
Totally Under Control,female,30-34,14
Earth Mama,male,50-54,14
The Death of Dick Long,female,30-34,14
Menashe,female,40-44,14
The Actor,male,18-24,14
Spaceship Earth,female,35-39,14
Jerry Lee Lewis: Trouble in Mind,male,45-49,13
The Ballad of Lefty Brown,female,45-49,13
The Lost City of Machu Picchu,female,45-49,13
Earth Mama,female,35-39,13
Mojave,female,40-44,13
Bodied,female,30-34,13
Mojave,male,25-29,13
Woodshock,female,18-24,13
The Death of Dick Long,male,50-54,13
Woodshock,male,18-24,13
All Dirt Roads Taste of Salt,male,40-44,13
Earth Mama,female,50-54,13
The Lovers,male,30-34,13
Mojave,male,35-39,13
The Lovers,female,18-24,13
The Actor,male,45-49,13
Dicks: The Musical,female,50-54,13
Janet Planet,female,50-54,12
Totally Under Control,male,25-29,12
Low Tide,female,40-44,12
The Lovers,male,18-24,12
Krisha,female,35-39,12
Monsters and Men,male,30-34,12
Menashe,male,30-34,12
The Lovers,female,25-29,11
The Lost City of Machu Picchu,male,40-44,11
Mojave,female,25-29,11
The Last Movie Star,male,50-54,11
The Death of Dick Long,female,50-54,11
Krisha,female,30-34,11
A Glimpse Inside the Mind of Charles Swan III,male,30-34,11
The Lovers,male,35-39,11
The Lovers,female,50-54,11
Amazing Grace,male,25-29,11
Spaceship Earth,female,45-49,11
A Glimpse Inside the Mind of Charles Swan III,male,25-29,11
Jerrod Carmichael: 8,male,35-39,11
Menashe,male,40-44,11
Earth Mama,female,25-29,11
Eternity,female,40-44,11
Earth Mama,male,25-29,11
The Clark Sisters: First Ladies of Gospel,female,30-34,11
Jerrod Carmichael: 8,male,45-49,11
Earth Mama,male,45-49,11
Amazing Grace,female,25-29,11
Bodied,female,40-44,10
Monsters and Men,female,45-49,10
The Last Movie Star,male,40-44,10
The Lost City of Machu Picchu,male,50-54,10
Monsters and Men,female,25-29,10
The B-Side: Elsa Dorfman's Portrait Photography,female,40-44,10
Krisha,female,25-29,10
Menashe,male,18-24,10
All Dirt Roads Taste of Salt,male,30-34,10
The Last Movie Star,male,30-34,10
Mojave,male,30-34,10
The Actor,male,35-39,10
Menashe,male,25-29,10
Menashe,female,30-34,10
Drew Michael,female,45-49,9
The B-Side: Elsa Dorfman's Portrait Photography,male,45-49,9
Jerrod Carmichael: 8,female,40-44,9
A Glimpse Inside the Mind of Charles Swan III,female,18-24,9
The Death of Dick Long,female,18-24,9
Menashe,male,45-49,9
Earth Mama,male,35-39,9
Monsters and Men,female,35-39,9
The Ballad of Lefty Brown,female,30-34,9
Woodshock,male,50-54,9
The Lost City of Machu Picchu,female,18-24,9
Earth Mama,male,30-34,9
The Death of Dick Long,female,25-29,9
Totally Under Control,female,25-29,9
Monsters and Men,male,18-24,9
Totally Under Control,male,18-24,9
Krisha,female,18-24,9
Jerrod Carmichael: 8,male,25-29,9
The Last Movie Star,male,45-49,9
Woodshock,female,30-34,9
The Clark Sisters: First Ladies of Gospel,female,25-29,8
The Lost City of Machu Picchu,female,25-29,8
Woodshock,male,35-39,8
Spaceship Earth,male,30-34,8
Monsters and Men,male,50-54,8
Woodshock,female,25-29,8
Spaceship Earth,male,50-54,8
The Ballad of Lefty Brown,female,35-39,8
A Glimpse Inside the Mind of Charles Swan III,male,45-49,8
Krisha,male,35-39,8
All Dirt Roads Taste of Salt,female,50-54,8
All Dirt Roads Taste of Salt,male,35-39,8
Mojave,female,45-49,8
Spaceship Earth,male,25-29,8
The Clark Sisters: First Ladies of Gospel,male,30-34,8
The Actor,male,30-34,8
The Smashing Machine,female,40-44,8
A Glimpse Inside the Mind of Charles Swan III,female,25-29,7
The Clark Sisters: First Ladies of Gospel,male,18-24,7
Death Stranding,male,45-49,7
Eternity,female,30-34,7
Earth Mama,male,40-44,7
Woodshock,male,30-34,7
Reggie Watts: Spatial,male,50-54,7
All Dirt Roads Taste of Salt,female,45-49,7
All Dirt Roads Taste of Salt,male,25-29,7
The Lost City of Machu Picchu,female,35-39,7
Spaceship Earth,female,30-34,7
Monsters and Men,female,50-54,7
Eternity,female,18-24,7
Spaceship Earth,female,25-29,7
Woodshock,female,35-39,7
The Clark Sisters: First Ladies of Gospel,male,25-29,7
Totally Under Control,female,18-24,7
The Last Movie Star,male,25-29,7
Amazing Grace,female,18-24,6
A Glimpse Inside the Mind of Charles Swan III,female,30-34,6
Monsters and Men,female,30-34,6
Bodied,female,35-39,6
All Dirt Roads Taste of Salt,female,18-24,6
Jerrod Carmichael: 8,male,18-24,6
A Glimpse Inside the Mind of Charles Swan III,female,40-44,6
Amazing Grace,male,18-24,6
The Lost City of Machu Picchu,male,35-39,6
Jerrod Carmichael: 8,male,40-44,6
Eternity,female,25-29,6
All Dirt Roads Taste of Salt,female,25-29,6
A Glimpse Inside the Mind of Charles Swan III,female,35-39,6
Jerrod Carmichael: 8,female,30-34,6
Menashe,female,45-49,6
The Ballad of Lefty Brown,female,18-24,6
Krisha,female,45-49,6
The Last Movie Star,female,40-44,6
The Lovers,male,25-29,6
The Clark Sisters: First Ladies of Gospel,female,18-24,6
Earth Mama,female,30-34,6
Death Stranding,male,35-39,6
Drew Michael,male,45-49,5
The Lovers,male,40-44,5
The Lost City of Machu Picchu,male,18-24,5
Menashe,female,35-39,5
Menashe,female,18-24,5
Monsters and Men,male,25-29,5
All Dirt Roads Taste of Salt,male,18-24,5
The Actor,female,45-49,5
Eternity,male,40-44,5
Jerrod Carmichael: 8,female,45-49,5
The Actor,male,25-29,5
The Lost City of Machu Picchu,male,25-29,5
Jerrod Carmichael: 8,female,25-29,5
The B-Side: Elsa Dorfman's Portrait Photography,female,30-34,5
Eternity,female,35-39,4
Reggie Watts: Spatial,male,35-39,4
Drew Michael,male,30-34,4
Menashe,male,35-39,4
Jerrod Carmichael: 8,male,50-54,4
Jerrod Carmichael: 8,female,50-54,4
Eternity,male,18-24,4
All Dirt Roads Taste of Salt,female,30-34,4
The B-Side: Elsa Dorfman's Portrait Photography,female,25-29,4
Death Stranding,male,40-44,4
The Last Movie Star,female,35-39,4
The B-Side: Elsa Dorfman's Portrait Photography,male,40-44,4
All Dirt Roads Taste of Salt,female,40-44,4
Reggie Watts: Spatial,male,18-24,4
The B-Side: Elsa Dorfman's Portrait Photography,female,18-24,4
Woodshock,female,50-54,4
The Last Movie Star,male,35-39,4
Menashe,female,25-29,4
Bodied,male,50-54,4
Woodshock,male,40-44,4
The Last Movie Star,male,18-24,4
The Drama,female,40-44,4
The B-Side: Elsa Dorfman's Portrait Photography,male,18-24,4
The Lost City of Machu Picchu,female,30-34,3
Reggie Watts: Spatial,male,45-49,3
The Clark Sisters: First Ladies of Gospel,male,45-49,3
Eternity,female,50-54,3
Eternity,male,25-29,3
Marty Supreme,male,18-24,3
The Lost City of Machu Picchu,male,30-34,3
Drew Michael,female,35-39,3
The Wives,male,40-44,3
Marty Supreme,female,35-39,3
The Last Movie Star,female,18-24,3
The Clark Sisters: First Ladies of Gospel,male,35-39,3
Eternity,male,35-39,3
All Dirt Roads Taste of Salt,female,35-39,3
Drew Michael,male,35-39,3
The Drama,female,18-24,3
The Lost City of Machu Picchu,female,40-44,3
The Actor,male,50-54,3
Jerry Lee Lewis: Trouble in Mind,male,50-54,3
The Ballad of Lefty Brown,female,25-29,3
Reggie Watts: Spatial,female,25-29,2
The Actor,female,18-24,2
Eternity,male,30-34,2
The Drama,female,25-29,2
Spaceship Earth,female,18-24,2
Jerry Lee Lewis: Trouble in Mind,male,30-34,2
Jerrod Carmichael: 8,female,35-39,2
Reggie Watts: Spatial,male,40-44,2
The Lost City of Machu Picchu,male,45-49,2
The B-Side: Elsa Dorfman's Portrait Photography,male,30-34,2
Wizards!,male,45-49,2
If I Had Legs I’d Kick You,male,50-54,2
The Actor,female,25-29,2
If I Had Legs I’d Kick You,female,30-34,2
The Actor,female,30-34,2
Bodied,female,50-54,2
Drew Michael,female,30-34,2
A Glimpse Inside the Mind of Charles Swan III,female,50-54,2
Eternity,female,45-49,2
Jerry Lee Lewis: Trouble in Mind,female,50-54,2
Reggie Watts: Spatial,male,30-34,2
Death Stranding,male,18-24,2
The Last Movie Star,female,30-34,2
Menashe,male,50-54,2
Drew Michael,male,25-29,2
Elden Ring,male,35-39,2
If I Had Legs I’d Kick You,male,25-29,2
If I Had Legs I’d Kick You,female,18-24,2
Mother Mary,female,35-39,2
Krisha,male,50-54,2
Death Stranding,female,35-39,2
Mother Mary,male,18-24,1
Death Stranding,male,30-34,1
If I Had Legs I’d Kick You,male,30-34,1
Jerry Lee Lewis: Trouble in Mind,female,45-49,1
The B-Side: Elsa Dorfman's Portrait Photography,male,35-39,1
The Drama,female,35-39,1
Reggie Watts: Spatial,female,35-39,1
If I Had Legs I’d Kick You,female,35-39,1
If I Had Legs I’d Kick You,female,45-49,1
Mother Mary,female,45-49,1
Marty Supreme,female,30-34,1
Wizards!,male,30-34,1
The B-Side: Elsa Dorfman's Portrait Photography,male,25-29,1
The Backrooms,male,18-24,1
Mother Mary,female,25-29,1
Jerry Lee Lewis: Trouble in Mind,female,40-44,1
The Last Movie Star,female,25-29,1
If I Had Legs I’d Kick You,male,35-39,1
Reggie Watts: Spatial,female,40-44,1
Drew Michael,female,40-44,1
If I Had Legs I’d Kick You,female,25-29,1
The Riders,male,30-34,1
The Drama,male,18-24,1
If I Had Legs I’d Kick You,male,18-24,1
Jerrod Carmichael: 8,female,18-24,1
Wizards!,female,18-24,1
The Actor,male,40-44,1
